query_id,question,dense_rank,hybrid_rank,candidate_rank,reranked_rank,candidate_has_relevant,dense_hit_hybrid_miss,dense_miss_hybrid_hit,hybrid_miss_reranker_hit,hybrid_hit_reranker_miss,candidate_miss,candidate_hit_reranker_miss
financebench_id_01290,Who are the primary customers of Boeing as of FY2022?,,,,,False,False,False,False,False,True,False
financebench_id_00283,How much does Pfizer expect to pay to spin off Upjohn in the future in USD million?,,,,,False,False,False,False,False,True,False
financebench_id_00407,Which type of debt received the largest investment among the short term investments for MGM in H1 FY2023?,4,1,1,1,True,False,False,False,False,False,False
financebench_id_00724,"For Pfizer, which geographic region had the biggest drop in Q22023 year over year revenues (on a percentage basis)?",,,,,False,False,False,False,False,True,False
financebench_id_05915,What is the FY2018 fixed asset turnover ratio for CVS Health? Fixed asset turnover ratio is defined as: FY2018 revenue / (average PP&E between FY2017 and FY2018). Round your answer to two decimal places. Calculate what was asked by utilizing the line items clearly shown in the P&L statement and the balance sheet.,,,,,False,False,False,False,False,True,False
financebench_id_01091,Has Boeing reported any materially important ongoing legal battles from FY2022?,1,2,2,5,True,False,False,False,False,False,False
financebench_id_00302,Did Pfizer grow its PPNE between FY20 and FY21?,,,,,False,False,False,False,False,True,False
financebench_id_01028,What are the geographies that American Express primarily operates in as of 2022?,,,,,False,False,False,False,False,True,False
financebench_id_00723,"Does AMEX have an improving operating margin profile as of 2022? If operating margin is not a useful metric for a company like this, then state that and explain why.",,,,,False,False,False,False,False,True,False
financebench_id_00476,Which debt securities are registered to trade on a national securities exchange under American Express' name as of 2022?,13,4,4,10,True,False,True,False,False,False,False
financebench_id_00494,What production rate changes is Boeing forecasting for FY2023?,1,1,1,2,True,False,False,False,False,False,False
financebench_id_00956,Are JnJ's FY2022 financials that of a high growth company?,,,,,False,False,False,False,False,True,False
financebench_id_03029,What is the FY2018 capital expenditure amount (in USD millions) for 3M? Give a response to the question by relying on the details shown in the cash flow statement.,5,7,7,3,True,False,False,False,False,False,False
financebench_id_00606,Did Ulta Beauty's wages expense as a percent of net sales increase or decrease in FY2023?,,,,,False,False,False,False,False,True,False
financebench_id_02119,"If JPM went bankrupted by the end by 2021 Q1 and liquidated all of its assets to pay its shareholders, how much could each shareholder get?",,,,,False,False,False,False,False,True,False
financebench_id_00995,What are the major products and services that AMD sells as of FY22?,24,26,,,False,False,False,False,False,True,False
financebench_id_00702,Were there any potential events that are not in Pfizer's standard business operations that substantially increased net income in 2019?,,,,,False,False,False,False,False,True,False
financebench_id_06655,What is Amazon's FY2017 days payable outstanding (DPO)? DPO is defined as: 365 * (average accounts payable between FY2016 and FY2017) / (FY2017 COGS + change in inventory between FY2016 and FY2017). Round your answer to two decimal places. Address the question by using the line items and information shown within the balance sheet and the P&L statement.,,,,,False,False,False,False,False,True,False
financebench_id_04854,"According to the information provided in the statement of cash flows, what is the FY2020 free cash flow (FCF) for General Mills? FCF here is defined as: (cash from operations - capex). Answer in USD millions.",2,2,2,1,True,False,False,False,False,False,False
financebench_id_03069,"Answer the following question as if you are an equity research analyst and have lost internet connection so you do not have access to financial metric providers. According to the details clearly outlined within the P&L statement and the statement of cash flows, what is the FY2015 depreciation and amortization (D&A from cash flow statement) % margin for AMD?",3,3,3,13,True,False,False,False,True,False,True
financebench_id_04980,What is the FY2021 capital expenditure amount (in USD billions) for PepsiCo? Respond to the question by assuming the perspective of an investment analyst who can only use the details shown within the statement of cash flows.,13,13,13,4,True,False,False,True,False,False,False
financebench_id_02416,What are three main companies acquired by Pfizer mentioned in this 10K report?,23,24,24,8,True,False,False,True,False,False,False
financebench_id_01346,How much has the effective tax rate of Corning changed between FY2021 and FY2022?,15,21,21,5,True,False,False,True,False,False,False
financebench_id_03620,What is the FY2022 unadjusted EBITDA less capex for PepsiCo? Define unadjusted EBITDA as unadjusted operating income + depreciation and amortization [from cash flow statement]. Answer in USD millions. Respond to the question by assuming the perspective of an investment analyst who can only use the details shown within the statement of cash flows and the income statement.,13,14,14,3,True,False,False,True,False,False,False
financebench_id_01474,"As of FY2023Q1, why did Pepsico raise full year guidance for FY2023?",2,1,1,1,True,False,False,False,False,False,False
financebench_id_00746,Which debt securities are registered to trade on a national securities exchange under Ulta Beauty's name as of FY2023?,,,,,False,False,False,False,False,True,False
financebench_id_01226,"What drove operating margin change as of FY2022 for 3M? If operating margin is not a useful metric for a company like this, then please state that and explain why.",,,,,False,False,False,False,False,True,False
financebench_id_00288,Was there any drop in Cash & Cash equivalents between FY 2023 and Q2 of FY2024?,16,16,16,1,True,False,False,True,False,False,False
financebench_id_00882,"As of May 26, 2023, what is the total amount Pepsico may borrow under its unsecured revolving credit agreements?",1,1,1,1,True,False,False,False,False,False,False
financebench_id_01491,"What is the amount of the cash proceeds that JnJ realised from the separation of Kenvue (formerly Consumer Health business segment), as of August 30, 2023?",1,1,1,1,True,False,False,False,False,False,False
financebench_id_00517,Are there any product categories / service categories that represent more than 20% of Boeing's revenue for FY2022?,1,2,2,1,True,False,False,False,False,False,False
financebench_id_03473,What is the FY2017 return on assets (ROA) for Coca Cola? ROA is defined as: FY2017 net income / (average total assets between FY2016 and FY2017). Round your answer to two decimal places. Give a response to the question by relying on the details shown in the balance sheet and the P&L statement.,,,,,False,False,False,False,False,True,False
financebench_id_01351,How much has the effective tax rate of American Express changed between FY2021 and FY2022?,,,,,False,False,False,False,False,True,False
financebench_id_00566,Has Verizon increased its debt on balance sheet between 2022 and the 2021 fiscal period?,,,,,False,False,False,False,False,True,False
financebench_id_00521,What are major acquisitions that Ulta Beauty has done in FY2023 and FY2022?,17,23,23,6,True,False,False,True,False,False,False
financebench_id_04700,What is the FY2016 COGS for Microsoft? Please state answer in USD millions. Provide a response to the question by primarily using the statement of income.,,,,,False,False,False,False,False,True,False
financebench_id_00080,"Does Paypal have positive working capital based on FY2022 data? If working capital is not a useful or relevant metric for this company, then please state that and explain why.",,,,,False,False,False,False,False,True,False
financebench_id_00669,"What drove gross margin change as of FY2022 for JnJ? If gross margin is not a useful metric for a company like this, then please state that and explain why.",,,,,False,False,False,False,False,True,False
financebench_id_04080,"When primarily referencing the income statement and the statement of financial position, what is the FY2021 inventory turnover ratio for Nike? Inventory turnover ratio is defined as: (FY2021 COGS) / (average inventory between FY2020 and FY2021). Round your answer to two decimal places.",33,33,,,False,False,False,False,False,True,False
financebench_id_00585,How does Boeing's effective tax rate in FY2022 compare to FY2021?,26,26,26,8,True,False,False,True,False,False,False
financebench_id_04103,What is the FY2019 cash conversion cycle (CCC) for General Mills? CCC is defined as: DIO + DSO - DPO. DIO is defined as: 365 * (average inventory between FY2018 and FY2019) / (FY2019 COGS). DSO is defined as: 365 * (average accounts receivable between FY2018 and FY2019) / (FY2019 Revenue). DPO is defined as: 365 * (average accounts payable between FY2018 and FY2019) / (FY2019 COGS + change in inventory between FY2018 and FY2019). Round your answer to two decimal places. Address the question by using the line items and information shown within the income statement and the balance sheet.,32,32,,,False,False,False,False,False,True,False
financebench_id_03031,What is Lockheed Martin's FY2021 net working capital? Define net working capital as total current assets less total current liabilities. Answer in USD millions. Respond to the question by assuming the perspective of an investment analyst who can only use the details shown within the balance sheet.,3,3,3,2,True,False,False,False,False,False,False
financebench_id_01490,"What is the amount of the gain accruing to JnJ as a result of the separation of its Consumer Health business segment, as of August 30, 2023?",1,1,1,1,True,False,False,False,False,False,False
financebench_id_00540,Roughly how many times has AES Corporation sold its inventory in FY2022? Calculate inventory turnover ratio for the FY2022; if conventional inventory management is not meaningful for the company then state that and explain why.,34,34,,,False,False,False,False,False,True,False
financebench_id_03849,What is the FY2018 - FY2020 3 year average of capex as a % of revenue for MGM Resorts? Answer in units of percents and round to one decimal place. Please utilize information provided primarily within the statement of cash flows and the statement of income.,3,4,4,2,True,False,False,False,False,False,False
financebench_id_00651,Is growth in JnJ's adjusted EPS expected to accelerate in FY2023?,4,4,4,4,True,False,False,False,False,False,False
financebench_id_04417,What is the year end FY2019 total amount of inventories for Best Buy? Answer in USD millions. Base your judgments on the information provided primarily in the balance sheet.,11,13,13,1,True,False,False,True,False,False,False
financebench_id_00215,Is Verizon a capital intensive business based on FY 2022 data?,6,11,11,11,True,True,False,False,False,False,True
financebench_id_02049,"Looking at VaR, did the risk that JPM faced in the second fiscal quarter of 2023 decrease compared to the same period in the prior year?",1,1,1,1,True,False,False,False,False,False,False
financebench_id_00464,Is Boeing's business subject to cyclicality?,11,13,13,8,True,False,False,True,False,False,False
